cycle,accuracy
1,0.082031
2,0.945312
3,0.945312
4,0.945312
5,0.945312
6,0.947266
7,0.947266
8,0.949219
9,0.949219
10,0.949219
11,0.949219
12,0.949219
13,0.941406
14,0.941406
15,0.941406
16,0.941406
17,0.941406
18,0.955078
19,0.955078
20,0.955078
21,0.955078
22,0.953125
23,0.953125
24,0.953125
25,0.953125
26,0.953125
27,0.953125
28,0.953125
29,0.957031
30,0.957031
31,0.957031
32,0.957031
33,0.957031
34,0.953125
35,0.953125
36,0.953125
37,0.953125
38,0.953125
39,0.953125
40,0.953125
41,0.953125
42,0.953125
43,0.955078
44,0.955078
45,0.953125
46,0.953125
47,0.957031
48,0.957031
49,0.957031
50,0.957031
51,0.957031
52,0.957031
53,0.957031
54,0.957031
55,0.957031
56,0.957031
57,0.957031
58,0.957031
59,0.957031
60,0.957031
61,0.958984
62,0.958984
63,0.960938
64,0.960938
65,0.960938
66,0.960938
67,0.960938
68,0.960938
69,0.958984
70,0.958984
71,0.955078
72,0.955078
73,0.955078
74,0.955078
75,0.955078
76,0.957031
77,0.957031
78,0.955078
79,0.955078
80,0.955078
81,0.953125
82,0.953125
83,0.953125
84,0.953125
85,0.953125
86,0.953125
87,0.957031
88,0.957031
89,0.957031
90,0.957031
91,0.957031
92,0.957031
93,0.957031
94,0.957031
95,0.957031
96,0.957031
97,0.957031
98,0.957031
99,0.957031
100,0.957031
101,0.957031
102,0.957031
103,0.957031
104,0.957031
105,0.957031
106,0.957031
107,0.957031
108,0.957031
109,0.957031
110,0.957031
111,0.957031
112,0.957031
113,0.955078
114,0.955078
115,0.955078
116,0.955078
117,0.955078
118,0.955078
119,0.955078
120,0.955078
121,0.955078
122,0.955078
123,0.955078
124,0.955078
125,0.955078
126,0.955078
127,0.955078
128,0.955078
129,0.955078
130,0.955078
131,0.955078
132,0.955078
133,0.957031
134,0.957031
135,0.957031
136,0.957031
137,0.957031
138,0.957031
139,0.957031
140,0.957031
141,0.957031
142,0.957031
143,0.957031
144,0.957031
145,0.955078
146,0.955078
147,0.955078
148,0.955078
149,0.955078
150,0.955078
151,0.955078
152,0.955078
153,0.955078
154,0.955078
155,0.955078
156,0.955078
157,0.955078
158,0.955078
159,0.955078
160,0.957031
161,0.957031
162,0.957031
163,0.957031
164,0.957031
165,0.955078
166,0.955078
167,0.955078
168,0.955078
169,0.955078
170,0.957031
171,0.957031
172,0.957031
173,0.957031
174,0.957031
175,0.957031
176,0.958984
177,0.958984
178,0.958984
179,0.958984
180,0.958984
181,0.958984
182,0.958984
183,0.960938
184,0.960938
185,0.960938
186,0.958984
187,0.958984
188,0.958984
189,0.958984
190,0.958984
191,0.958984
192,0.958984
193,0.958984
194,0.958984
195,0.958984
196,0.958984
197,0.958984
198,0.957031
199,0.957031
200,0.957031
201,0.957031
202,0.957031
203,0.957031
204,0.957031
205,0.957031
206,0.957031
207,0.958984
208,0.958984
209,0.958984
210,0.958984
211,0.958984
212,0.960938
213,0.960938
214,0.960938
215,0.960938
216,0.960938
217,0.960938
218,0.960938
219,0.960938
220,0.960938
221,0.960938
222,0.960938
223,0.960938
224,0.960938
225,0.960938
226,0.960938
227,0.960938
228,0.960938
229,0.960938
230,0.960938
231,0.960938
232,0.960938
233,0.960938
234,0.960938
235,0.960938
236,0.960938
237,0.960938
238,0.960938
239,0.958984
240,0.958984
241,0.958984
242,0.958984
243,0.958984
244,0.958984
245,0.958984
246,0.958984
247,0.958984
248,0.958984
249,0.957031
250,0.957031
251,0.958984
252,0.958984
253,0.958984
254,0.958984
255,0.958984
256,0.958984
